SERA 2026 - Assumptions / Notes / Payment Terms,,,
,,,
SECTION 1: KEY ASSUMPTIONS,,,
,,,
#,Assumption,Impact if Different,Action Required
SECTION 4: CANCELLATION POLICY,,,
,,,
Notice Period,Refund,Notes,
30+ days before event,100% refund of advance,"Full refund minus any non-recoverable vendor deposits",
15-30 days before event,50% refund,"Venue and vendor cancellation fees apply",
Less than 15 days,No refund,"Full charges apply - vendors already committed",
Event postponement,Rescheduling at no extra charge,"Subject to vendor and venue availability within 60 days",
,,,
SECTION 5: CONTRACT TERMS,,,
,,,
Term,Details,,
Price Validity,"90 days from proposal date, subject to vendor rate confirmations",,
Annual Contract Discount,"5-8% discount available for full annual commitment (all 27 events)",,"[NOTE] Recommend annual contract for best value"
Scope Changes,"Any change in scope (attendance, venue tier, entertainment level) requires revised quotation within 5 business days",,
Force Majeure,"Neither party liable for delays caused by government orders, natural disasters, or public health emergencies",,
Insurance,"Event management company to carry professional liability insurance (min SAR 1M coverage)",,
Subcontracting,"Primary contractor may subcontract specific services (AV, catering, entertainment) with SERA approval",,
Intellectual Property,"All event photos, videos, and designs become SERA property upon final payment",,
Confidentiality,"All SERA internal information shared for event planning remains strictly confidential",,
,,,
SECTION 6: COST OPTIMIZATION RECOMMENDATIONS,,,
,,,
Opportunity,Potential Savings (SAR),Trade-off,Recommendation
Annual vendor contracts with preferred rates,"150,000 - 250,000",Commitment to specific vendors for 12 months,"STRONGLY RECOMMENDED - negotiate 10-15% volume discounts"
Maximize SERA HQ for awareness-day events,"100,000 - 150,000",Less premium feel for small events,"RECOMMENDED - HQ is ideal for awareness days, save budget for galas"
Bundled AV equipment annual rental,"40,000 - 60,000",Same AV vendor for all events,"RECOMMENDED - consistency + lower rates"
Bundled photography/videography annual contract,"30,000 - 50,000",Same photo/video team throughout,"RECOMMENDED - familiar with SERA brand, consistent quality"
Reduce gift tier for awareness days (SAR 25 instead of SAR 50+),"30,000 - 50,000",Simpler giveaways for minor events,"RECOMMENDED - reserve premium gifts for major celebrations"
Off-peak weekday timing for awareness events,"50,000 - 80,000",Lower venue rates on weekdays,"CONSIDER - may reduce attendance if during work hours"
Combine Tea Day + Coffee Day into single event,"25,000 - 30,000",Fewer standalone events,"NOT RECOMMENDED - each has distinct engagement value"
Standard entertainment (not premium) for mid-tier events,"60,000 - 100,000",Less memorable entertainment,"SELECTIVELY APPLY - keep premium for Eid, National Day, Year-End"
,,,
MAXIMUM POTENTIAL ANNUAL SAVINGS:,"485,000 - 770,000",,
,,,
SECTION 7: GRAND BUDGET SUMMARY,,,
,,,
Category,Amount (SAR),,
Q1 Events (6 events),"784,245",,
Q2 Events (6 events),"788,480",,
Q3 Events (3 events),"615,220",,
Q4 Events (10 events),"814,145",,
Sports Events (Football + Padel),"160,410",,
,,,
SUBTOTAL (ex-VAT),"3,162,500",,
VAT (15%),"474,375",,
TOTAL (inc. VAT),"3,636,875",,
,,,
With 10% Contingency,"4,000,563",,
,,,
After Recommended Optimizations (est.),"3,200,000 - 3,500,000",Including VAT,
,,,
PRICING TIERS,,,
Tier,Annual Budget (inc. VAT),Description,
Standard,"3,277,500","Good quality, standard venues and entertainment",
Recommended,"3,636,875","Professional execution, quality venues, good entertainment",
Premium,"3,990,500","Luxury execution, 5-star everything, premium entertainment",
With 10% Contingency (Recommended tier),"4,000,563","Safest budget allocation",
